item_id,category,subcategory,item_name,description,unit,unit_price,minimum_quantity,typical_quantity,maximum_quantity,synonyms,requires_dimensions,requires_material_selection,requires_site_verification,clarification_question,confidence_notes,active
GP-011,Concrete,Patio,Concrete Patio Installation - Stamped,"Installation of a stamped and colored decorative concrete patio, including pattern and release-color finish.",sqft,14.5,200,700,2500,stamped concrete patio;decorative concrete patio;stamped concrete;patterned concrete patio,TRUE,TRUE,TRUE,"How many square feet of stamped concrete, and which pattern/color is preferred?","High confidence when notes explicitly mention stamped, patterned, or decorative concrete.",TRUE
GP-012,Concrete,Patio,Concrete Patio Installation - Exposed Aggregate,"Installation of an exposed-aggregate finish concrete patio for a textured, non-slip surface.",sqft,13.25,200,700,2500,exposed aggregate patio;aggregate concrete;textured concrete patio;pebble finish patio,TRUE,TRUE,TRUE,How many square feet of exposed aggregate patio should be installed?,High confidence when notes explicitly mention exposed aggregate or a textured pebble-look finish.,TRUE
GP-013,Concrete,Walkway,Concrete Walkway,Installation of a poured concrete walkway or pathway connecting outdoor areas.,sqft,11.0,40,150,600,concrete walkway;concrete path;concrete sidewalk;walkway,TRUE,FALSE,TRUE,How many square feet (or linear feet and width) of walkway are needed?,High confidence when notes mention a walkway or path without specifying paver or gravel material.,TRUE
GP-014,Concrete,Driveway,Concrete Driveway Extension,Installation of additional poured concrete driveway or parking area adjoining the existing driveway.,sqft,12.75,200,600,2000,driveway extension;extra parking pad;concrete driveway;widen the driveway;parking pad,TRUE,FALSE,TRUE,"How many square feet of driveway extension are needed, and where does it connect to the existing driveway?",Medium confidence; select when notes mention additional parking or driveway widening.,TRUE
GP-015,Concrete,Steps,Concrete Steps,"Construction of poured concrete steps connecting two elevation changes, priced per step.",each,285.0,2,4,10,concrete steps;concrete stairs;steps down to the yard;stairs,TRUE,FALSE,TRUE,How many steps are needed and what is the total rise in height?,Medium confidence; select when notes mention steps or stairs without specifying paver or stone material.,TRUE
GP-016,Concrete,Curbing,Concrete Curbing,"Installation of poured concrete curbing to edge planting beds, turf areas, or driveways.",linear_ft,18.5,20,80,300,concrete curbing;curbing;bed edging;mow curb;concrete border,TRUE,FALSE,FALSE,How many linear feet of curbing are needed?,Medium confidence; select when notes mention a mow curb or permanent concrete edge between areas.,TRUE
GP-017,Concrete,Finish Upgrade,Colored Concrete Upgrade,Integral or dyed color upgrade added to a standard concrete pour.,sqft,2.25,200,700,2500,colored concrete;tinted concrete;concrete color upgrade;dyed concrete,FALSE,TRUE,FALSE,Which concrete color is preferred for this upgrade?,Medium confidence; select as an add-on when notes mention colored or tinted concrete alongside a base patio item.,TRUE
GP-018,Concrete,Sealing,Concrete Sealing,Application of a penetrating or film-forming sealer to protect and enhance a finished concrete surface.,sqft,1.35,200,700,2500,seal the concrete;concrete sealer;concrete sealing;protective coating,FALSE,FALSE,FALSE,,Medium confidence; usually bundled with a new pour rather than requested as a standalone item.,TRUE
GP-019,Concrete,Cutting,Concrete Saw Cutting / Control Joints,Saw cutting of control joints or decorative scoring patterns into a concrete slab.,linear_ft,4.5,20,100,400,saw cutting;control joints;score lines;expansion joints,TRUE,FALSE,FALSE,How many linear feet of saw cutting or control joints are needed?,Low confidence as a standalone request; usually included with a new pour rather than mentioned separately.,TRUE
GP-020,Concrete,Repair,Concrete Repair & Patch,"Patching and repair of cracked, spalled, or settled sections of existing concrete.",sqft,9.0,10,40,150,concrete repair;patch the concrete;fix cracked concrete;concrete patch,TRUE,FALSE,TRUE,"How many square feet of concrete need repair, and what is the visible damage (cracks, settling, spalling)?","High confidence when notes mention repairing, patching, or fixing existing concrete rather than replacing it.",TRUE
GP-021,Concrete,Structural,Concrete Footing (for structures),"Poured concrete footings sized to support pergolas, walls, or other structural elements.",cubic_yard,215.0,1,3,12,footings;concrete footing;structural footing;post footings,TRUE,FALSE,TRUE,"How many footings are needed, and what structure will they support?",Medium confidence; typically bundled with a pergola or wall item rather than requested by name.,TRUE
GP-022,Concrete,Structural,Reinforced Concrete Slab (Outdoor Kitchen/Structure Base),Reinforced concrete slab built to support the weight and utility routing of an outdoor kitchen or similar structure.,sqft,10.75,100,300,900,kitchen slab;concrete base for kitchen;reinforced slab;outdoor kitchen foundation,TRUE,FALSE,TRUE,How many square feet of reinforced slab are needed for the structure's footprint?,Medium confidence; select when notes describe an outdoor kitchen or structure base rather than a walkable patio.,TRUE
GP-023,Pavers,Patio,Standard Paver Patio Installation,"Installation of a standard concrete paver patio over a compacted base, including edge restraint.",sqft,16.25,150,600,2500,paver patio;pavers;patio pavers;paver installation;brick pavers;backyard pavers,TRUE,TRUE,TRUE,"How many square feet of paver patio, and is there a preferred paver style or color?","High confidence when notes mention pavers, paver patio, or brick-style patio without a premium material called out.",TRUE
GP-024,Pavers,Patio,Premium Paver Patio Installation,"Installation of a premium paver product (textured, tumbled, or multi-tone) over a compacted base.",sqft,22.75,150,600,2500,premium pavers;high-end paver patio;designer pavers;tumbled pavers,TRUE,TRUE,TRUE,"How many square feet, and which premium paver line is preferred?",Medium confidence; select when notes emphasize a high-end or designer paver look.,TRUE
GP-025,Pavers,Patio,Large-Format Paver Installation,Installation of large-format (18x18 or larger) concrete or porcelain pavers for a modern patio look.,sqft,26.5,150,600,2500,large format pavers;big paver tiles;modern pavers;large paver slabs,TRUE,TRUE,TRUE,"How many square feet of large-format pavers, and concrete or porcelain?","High confidence when notes mention large-format, modern slab, or oversized paver tiles.",TRUE
GP-026,Pavers,Patio,Travertine Paver Installation,"Installation of natural travertine pavers, a popular premium finish for Phoenix pool decks and patios.",sqft,28.0,150,500,1800,travertine pavers;travertine patio;natural stone pavers;travertine deck,TRUE,TRUE,TRUE,"How many square feet of travertine, and is this for a patio or pool deck?",High confidence when notes specifically mention travertine.,TRUE
GP-027,Pavers,Patio,Permeable Paver Installation,Installation of permeable interlocking pavers over an open-graded base to manage stormwater on-site.,sqft,19.5,150,600,2000,permeable pavers;drainage pavers;porous pavers;eco pavers,TRUE,TRUE,TRUE,"How many square feet of permeable pavers, and is this being installed to address a drainage issue?",Medium confidence; select when notes mention drainage-friendly or permeable paving specifically.,TRUE
GP-028,Pavers,Accent,Paver Border/Soldier Course,Installation of a contrasting soldier-course border framing a paver or turf area.,linear_ft,14.0,20,60,200,paver border;soldier course;paver edge band;border pavers,TRUE,TRUE,FALSE,"How many linear feet of border are needed, and should it contrast with the field pavers?",Medium confidence; usually bundled with a paver patio or turf item as an accent detail.,TRUE
GP-029,Pavers,Walkway,Paver Walkway,Installation of a paver walkway or path connecting outdoor spaces.,sqft,17.5,40,150,600,paver walkway;paver path;walkway pavers;stone path,TRUE,TRUE,FALSE,How many square feet (or linear feet and width) of paver walkway are needed?,High confidence when notes mention a paver or stone walkway/path.,TRUE
GP-030,Pavers,Steps,Paver Steps,Construction of paver-clad steps connecting two elevation changes in the yard.,each,325.0,2,4,10,paver steps;paver stairs;stone steps,TRUE,TRUE,TRUE,How many steps are needed and what is the total rise in height?,Medium confidence; select when notes mention steps alongside a paver patio or hillside yard.,TRUE
GP-031,Pavers,Pool Deck,Paver Pool Deck Installation,"Installation of paver decking around an existing pool, including edge restraint at the pool coping.",sqft,24.0,150,500,1800,pavers around the pool;pool deck pavers;pool paver deck;pool surround pavers,TRUE,TRUE,TRUE,"How many square feet of pool deck need pavers, and is the pool coping being replaced?",High confidence when notes mention pavers around a pool or a pool deck specifically.,TRUE
GP-032,Pavers,Demolition,Paver Demolition & Removal,"Removal and haul-off of an existing paver patio, walkway, or deck.",sqft,5.5,100,400,2000,remove old pavers;paver demo;paver removal;tear out pavers,TRUE,FALSE,TRUE,How many square feet of existing pavers need to be removed?,High confidence when notes mention removing or replacing an existing paver surface.,TRUE
GP-033,Pavers,Repair,Paver Repair (Settled/Cracked Sections),"Lifting, re-leveling, or replacing settled, sunken, or cracked paver sections.",sqft,12.0,10,50,200,paver repair;fix sunken pavers;releveling pavers;cracked paver fix,TRUE,FALSE,TRUE,"How many square feet of pavers need repair, and are they sinking, shifting, or cracked?",High confidence when notes describe an existing paver problem rather than a new installation.,TRUE
GP-034,Pavers,Maintenance,Paver Sealing,Application of a protective sealer to enhance color and resist staining on an existing paver surface.,sqft,2.1,150,600,2500,seal the pavers;paver sealer;paver sealing;protect the pavers,FALSE,FALSE,FALSE,,Medium confidence; usually bundled with a new paver install or requested as maintenance on an existing patio.,TRUE
GP-035,Pavers,Maintenance,Paver Sand Joint Stabilization (Polymeric Sand),Re-sanding paver joints with polymeric sand to reduce weed growth and shifting.,sqft,1.85,150,600,2500,polymeric sand;resand the pavers;joint sand;paver joint stabilization,FALSE,FALSE,FALSE,,Medium confidence; typically bundled with new installs or requested for weed control on existing pavers.,TRUE
GP-036,Pavers,Accent,Paver Edge Restraint Installation,Installation of rigid edge restraint to lock paver fields in place and prevent lateral shifting.,linear_ft,6.75,20,80,300,edge restraint;paver edging;restraint edging,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically bundled automatically with a paver installation item.,TRUE
GP-037,Pavers,Driveway,Paver Driveway Installation,Installation of a structural-rated paver driveway including a compacted aggregate base.,sqft,21.5,200,600,2000,paver driveway;brick driveway;driveway pavers,TRUE,TRUE,TRUE,"How many square feet of driveway need pavers, and will vehicles be parked or driven on it regularly?",High confidence when notes mention a paver or brick driveway specifically.,TRUE
GP-038,Walls & Masonry,Retaining Wall,Retaining Wall - Standard Block,"Construction of a segmental block retaining wall up to 4 feet in height, including base prep and drainage gravel.",linear_ft,85.0,20,80,300,retaining wall;block wall;yard retaining wall;grade wall,TRUE,TRUE,TRUE,"How many linear feet of retaining wall are required, and what is the average height?",High confidence when notes mention a retaining wall or holding back a slope/grade change under 4 feet.,TRUE
GP-039,Walls & Masonry,Retaining Wall,Retaining Wall - Engineered/Tall (>4ft),"Construction of an engineered retaining wall over 4 feet in height, including engineering review and reinforced base.",linear_ft,145.0,20,60,250,tall retaining wall;engineered wall;big retaining wall;high retaining wall,TRUE,TRUE,TRUE,"How many linear feet, and does the wall height exceed 4 feet at any point (may require engineering)?","High confidence when notes mention a tall wall, engineered wall, or significant elevation change.",TRUE
GP-040,Walls & Masonry,Seat Wall,Seat Wall,Construction of a low masonry seat wall used for extra seating or to define a patio edge.,linear_ft,95.0,10,40,150,seat wall;sitting wall;bench wall;low wall for seating,TRUE,TRUE,FALSE,How many linear feet of seat wall are needed?,"Medium confidence; 'wall' alone is ambiguous between retaining, seat, and decorative walls without more context.",TRUE
GP-041,Walls & Masonry,Decorative Wall,Decorative Wall / Privacy Wall,Construction of a freestanding decorative or privacy wall not intended to retain soil.,linear_ft,110.0,10,50,200,privacy wall;decorative wall;screening wall;freestanding wall,TRUE,TRUE,TRUE,"How many linear feet and what height is needed, and is this for privacy or purely decorative purposes?","Medium confidence; 'wall' alone is ambiguous between retaining, seat, and decorative walls without more context.",TRUE
GP-042,Walls & Masonry,Finish,Stone Veneer Wall Facing,Application of natural or manufactured stone veneer to the face of an existing or new wall.,sqft,32.0,20,100,400,stone veneer;stone facing;faced wall;stone cladding,TRUE,TRUE,FALSE,"How many square feet of wall face need stone veneer, and which stone style is preferred?",High confidence when notes mention stone veneer or facing an existing wall in stone.,TRUE
GP-043,Walls & Masonry,Wall Cap,Wall Cap - Natural Stone,"Installation of a natural stone cap along the top of a retaining, seat, or decorative wall.",linear_ft,28.0,10,60,250,stone wall cap;natural stone cap;wall coping,FALSE,TRUE,FALSE,,Medium confidence; typically bundled with a wall item once material style is chosen.,TRUE
GP-044,Walls & Masonry,Wall Cap,Wall Cap - Precast Concrete,"Installation of a precast concrete cap along the top of a retaining, seat, or decorative wall.",linear_ft,18.0,10,60,250,concrete wall cap;precast cap;standard wall cap,FALSE,FALSE,FALSE,,Medium confidence; typically bundled with a wall item as the default cap option.,TRUE
GP-045,Walls & Masonry,Column,Column/Pilaster - Masonry,"Construction of a freestanding or wall-integrated masonry column or pilaster, often for gate or fence posts.",each,875.0,1,2,6,column;pilaster;masonry pillar;gate column;entry column,FALSE,TRUE,TRUE,How many columns are needed and what is the intended height?,"Medium confidence; usually mentioned alongside a gate, fence, or entry feature.",TRUE
GP-046,Walls & Masonry,Lighting,Wall Lighting Niche,Recessed lighting niche built into a masonry wall for accent illumination.,each,210.0,1,3,10,wall niche light;recessed wall light;lighted niche,FALSE,FALSE,TRUE,How many lighting niches are needed along the wall?,Low confidence as a standalone request; usually bundled with a wall and lighting package.,TRUE
GP-047,Walls & Masonry,Demolition,Wall Demolition & Removal,"Demolition and haul-off of an existing masonry, block, or concrete wall.",linear_ft,22.0,10,60,250,remove old wall;wall demo;tear down the wall;wall removal,TRUE,FALSE,TRUE,"How many linear feet of existing wall need to be removed, and what is it built from?",High confidence when notes mention removing or replacing an existing wall.,TRUE
GP-048,Walls & Masonry,Retaining Wall,Boulder Wall / Natural Stone Wall,"Construction of a stacked boulder or natural stone retaining wall for a more organic, desert-style look.",linear_ft,120.0,15,50,200,boulder wall;stacked stone wall;natural stone retaining wall;rock wall,TRUE,TRUE,TRUE,"How many linear feet of boulder wall, and what is the average height?","High confidence when notes mention boulders, stacked stone, or a natural rock retaining wall.",TRUE
GP-049,Walls & Masonry,Drainage,Wall Drainage Backfill (Gravel + Drain Pipe),Installation of gravel backfill and perforated drain pipe behind a retaining wall to relieve hydrostatic pressure.,linear_ft,16.0,20,80,300,wall drainage;backfill gravel;wall drain pipe;retaining wall drainage,FALSE,FALSE,TRUE,,Medium confidence; typically bundled automatically with any retaining wall over 2 feet in height.,TRUE
GP-050,Pergolas & Shade,Aluminum Pergola,Aluminum Pergola 10x12,"Installed 10x12 powder-coated aluminum pergola with standard louvered or lattice roof panel, including footings.",each,8950.0,1,1,2,pergola;covered patio;covered seating area;shade structure;outdoor cover;aluminum pergola;10x12 pergola;big covered sitting area,TRUE,TRUE,TRUE,Confirm the desired footprint (10x12) and roof style — louvered or fixed lattice?,Medium confidence for generic 'covered sitting area' language; high confidence once dimensions or 'aluminum' are specified.,TRUE
GP-051,Pergolas & Shade,Aluminum Pergola,Aluminum Pergola 12x14,"Installed 12x14 powder-coated aluminum pergola with standard louvered or lattice roof panel, including footings.",each,12750.0,1,1,2,pergola;covered patio;covered seating area;shade structure;aluminum pergola;12x14 pergola;big covered sitting area,TRUE,TRUE,TRUE,Confirm the desired footprint (12x14) and roof style — louvered or fixed lattice?,Medium confidence for generic shade-structure language; high confidence when dimensions match 12x14.,TRUE
GP-052,Pergolas & Shade,Aluminum Pergola,Aluminum Pergola 14x16,"Installed 14x16 powder-coated aluminum pergola with standard louvered or lattice roof panel, including footings.",each,16200.0,1,1,2,pergola;large covered patio;big shade structure;aluminum pergola;14x16 pergola,TRUE,TRUE,TRUE,Confirm the desired footprint (14x16) and roof style — louvered or fixed lattice?,Medium confidence for generic large-pergola language; high confidence when dimensions match 14x16.,TRUE
GP-053,Pergolas & Shade,Aluminum Pergola,Custom Aluminum Pergola (Oversized/Custom Footprint),"Engineered aluminum pergola built to a custom footprint beyond standard sizes, including footings and structural review.",each,22500.0,1,1,1,custom pergola;oversized pergola;custom shade structure;large custom cover,TRUE,TRUE,TRUE,What are the exact dimensions and roofline needed for the custom pergola?,Medium confidence; select when requested dimensions exceed standard 14x16 sizing.,TRUE
GP-054,Pergolas & Shade,Wood Pergola,Wood Pergola - Standard,"Installed standard cedar or redwood pergola, open-lattice style, including footings.",each,9800.0,1,1,2,wood pergola;cedar pergola;wooden shade structure;open pergola,TRUE,TRUE,TRUE,Confirm the desired footprint and whether cedar or redwood is preferred.,High confidence when notes specifically mention wood or cedar as the pergola material.,TRUE
GP-055,Pergolas & Shade,Wood Pergola,Cedar Wood Pergola - Premium,Installed premium cedar pergola with upgraded beam sizing and decorative rafter tails.,each,14600.0,1,1,2,premium wood pergola;high-end cedar pergola;custom wood pergola,TRUE,TRUE,TRUE,Confirm the desired footprint and any decorative beam or rafter-tail preferences.,Medium confidence; select when notes emphasize a premium or high-end wood structure.,TRUE
GP-056,Pergolas & Shade,Upgrade,Pergola Roof Upgrade - Louvered/Motorized,"Upgrade of a standard pergola roof to a motorized, adjustable louvered roof system.",each,6400.0,1,1,1,louvered roof;motorized pergola roof;adjustable roof;opening roof pergola,FALSE,FALSE,FALSE,,"High confidence when notes mention an adjustable, louvered, or motorized pergola roof.",TRUE
GP-057,Pergolas & Shade,Upgrade,Pergola Privacy Screen Panel,Installation of a privacy screen panel on one side of an existing or new pergola structure.,each,625.0,1,2,6,privacy screen;pergola side panel;wind screen;privacy panel,FALSE,TRUE,FALSE,How many sides of the pergola need privacy screening?,Medium confidence; select when notes mention wind or privacy screening for a shade structure.,TRUE
GP-058,Pergolas & Shade,Upgrade,Pergola Lighting Package,Installation of integrated string or recessed lighting within the pergola structure.,each,1450.0,1,1,1,pergola lights;string lights;pergola lighting;lighted pergola,FALSE,FALSE,FALSE,,High confidence when notes mention lighting within or around a covered patio/pergola.,TRUE
GP-059,Pergolas & Shade,Upgrade,Pergola Fan Installation,Installation of an outdoor-rated ceiling fan mounted to the pergola structure.,each,875.0,1,1,3,pergola fan;outdoor ceiling fan;patio fan,FALSE,TRUE,TRUE,"How many fans are needed, and is 220V/circuit access already available nearby?",High confidence when notes mention a fan for the covered patio or pergola.,TRUE
GP-060,Pergolas & Shade,Shade Sail,Shade Sail Installation,Installation of a tensioned fabric shade sail anchored to posts or existing structures.,each,1650.0,1,2,4,shade sail;sail shade;canopy sail;fabric shade,TRUE,TRUE,TRUE,"What size and shape shade sail is needed, and what will it anchor to?",High confidence when notes specifically mention a shade sail rather than a pergola or ramada.,TRUE
GP-061,Pergolas & Shade,Ramada,Ramada / Freestanding Covered Structure,"Construction of a freestanding ramada with a solid roof, typically used over outdoor kitchens or large gathering areas.",each,18500.0,1,1,1,ramada;covered structure;solid roof cover;outdoor kitchen cover,TRUE,TRUE,TRUE,"What footprint and roof material (tile, standing seam metal, etc.) are needed for the ramada?","Medium confidence; select for solid-roof cover requests, distinct from an open-slat pergola.",TRUE
GP-062,Outdoor Kitchens,Cabinetry,Outdoor Kitchen Base Cabinet,Installation of weather-rated stainless steel or masonry base cabinetry for an outdoor kitchen island.,linear_ft,625.0,4,12,30,kitchen cabinet;outdoor cabinets;kitchen island base;base cabinet,TRUE,TRUE,TRUE,How many linear feet of base cabinetry are needed for the kitchen island layout?,High confidence when notes mention an outdoor kitchen island or cabinetry base.,TRUE
GP-063,Outdoor Kitchens,Countertop,Outdoor Kitchen Countertop - Granite,Fabrication and installation of granite countertop for an outdoor kitchen island.,linear_ft,145.0,4,12,30,granite countertop;outdoor kitchen countertop;granite counter,TRUE,FALSE,FALSE,How many linear feet of granite countertop are needed?,High confidence when notes specifically mention granite as the countertop material.,TRUE
GP-064,Outdoor Kitchens,Countertop,Outdoor Kitchen Countertop - Concrete,Fabrication and installation of a poured or precast concrete countertop for an outdoor kitchen island.,linear_ft,110.0,4,12,30,concrete countertop;poured concrete counter,TRUE,FALSE,FALSE,How many linear feet of concrete countertop are needed?,High confidence when notes specifically mention concrete as the countertop material.,TRUE
GP-065,Outdoor Kitchens,Countertop,Outdoor Kitchen Countertop - Tile,Installation of a tiled countertop surface for an outdoor kitchen island.,linear_ft,85.0,4,12,30,tile countertop;tiled counter,TRUE,TRUE,FALSE,"How many linear feet of tile countertop are needed, and which tile is preferred?",High confidence when notes specifically mention tile as the countertop material.,TRUE
GP-066,Outdoor Kitchens,Appliance,Built-In Grill,Supply and installation of a built-in gas grill within the outdoor kitchen island.,each,3450.0,1,1,2,built-in grill;outdoor grill;bbq grill;island grill,FALSE,TRUE,TRUE,"Which grill brand/size is preferred, and is a natural gas line available nearby?",High confidence when notes mention a built-in grill or BBQ as part of an outdoor kitchen.,TRUE
GP-067,Outdoor Kitchens,Appliance,Built-In Grill - Premium,Supply and installation of a premium high-BTU built-in gas grill with additional burners and searing station.,each,6800.0,1,1,2,premium grill;high-end bbq;professional grill,FALSE,TRUE,TRUE,"Which premium grill brand/size is preferred, and is a natural gas line available nearby?",Medium confidence; select when notes emphasize a high-end or professional-grade grill.,TRUE
GP-068,Outdoor Kitchens,Appliance,Outdoor Refrigerator,Supply and installation of a weather-rated outdoor refrigerator within the kitchen island.,each,2150.0,1,1,2,outdoor fridge;outdoor refrigerator;beverage fridge,FALSE,TRUE,TRUE,Is a dedicated 110V outlet already available at the fridge location?,High confidence when notes mention a fridge or beverage cooler in the outdoor kitchen.,TRUE
GP-069,Outdoor Kitchens,Plumbing,Outdoor Sink & Faucet,Supply and installation of a stainless steel sink and faucet with hot/cold supply and drain routing.,each,1375.0,1,1,2,outdoor sink;kitchen sink;wet bar sink,FALSE,TRUE,TRUE,Is a water supply and drain line already available near the kitchen location?,High confidence when notes mention a sink as part of the outdoor kitchen.,TRUE
GP-070,Outdoor Kitchens,Appliance,Side Burner,Supply and installation of a side burner unit within the outdoor kitchen island.,each,1050.0,1,1,2,side burner;extra burner;sear burner,FALSE,TRUE,TRUE,How many side burners are needed?,Medium confidence; select when notes mention an extra burner in addition to the main grill.,TRUE
GP-071,Outdoor Kitchens,Storage,Storage Drawer Unit,Installation of a weather-rated stainless steel storage drawer unit within the kitchen island.,each,685.0,1,2,6,storage drawers;kitchen drawers;stainless drawers,FALSE,FALSE,FALSE,How many drawer units are needed in the island layout?,Medium confidence; select when notes mention storage or drawers as part of the kitchen build.,TRUE
GP-072,Outdoor Kitchens,Storage,Trash/Recycling Pullout,Installation of a pull-out trash and recycling bin unit within the kitchen island cabinetry.,each,475.0,1,1,2,trash pullout;recycling bin;garbage drawer,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically requested alongside full cabinetry.,TRUE
GP-073,Outdoor Kitchens,Finish,Outdoor Kitchen Backsplash,Installation of a tile or stone backsplash on the vertical surface behind the countertop.,sqft,28.0,10,30,100,kitchen backsplash;tile backsplash;island backsplash,TRUE,TRUE,FALSE,"How many square feet of backsplash are needed, and which tile/stone is preferred?",Medium confidence; select when notes mention a decorative wall finish behind the counter.,TRUE
GP-074,Outdoor Kitchens,Lighting,Outdoor Kitchen Lighting Package,Installation of task and accent lighting integrated into the kitchen island and surrounding area.,each,950.0,1,1,1,kitchen lighting;island lighting;task lighting,FALSE,FALSE,TRUE,,Medium confidence; select when notes mention lighting specifically at the cooking/prep area.,TRUE
GP-075,Outdoor Kitchens,Seating,Bar Seating Overhang / Raised Bar Top,Extension of the countertop to create a raised bar overhang for stool seating.,linear_ft,175.0,4,8,20,bar seating;bar overhang;raised bar top;counter seating,TRUE,FALSE,FALSE,How many linear feet of bar seating overhang are needed?,Medium confidence; select when notes mention seating at the island or a bar-height counter.,TRUE
GP-076,Outdoor Kitchens,Appliance,Pizza Oven - Built-In,Supply and installation of a built-in wood-fired or gas pizza oven within the outdoor kitchen structure.,each,7900.0,1,1,1,pizza oven;wood-fired oven;built-in oven,FALSE,TRUE,TRUE,"Is a wood-fired or gas pizza oven preferred, and where should it sit relative to the kitchen island?",High confidence when notes specifically mention a pizza oven.,TRUE
GP-077,Fire Features,Fire Pit,Gas Fire Pit - Standard,Installation of a standard prefabricated gas fire pit with burner and gas line connection.,each,3250.0,1,1,2,gas fire pit;fire pit;propane fire pit;outdoor fire pit,FALSE,TRUE,TRUE,"Is this fire pit natural gas or propane, and is a gas line already available nearby?",Medium confidence for generic 'fire pit' notes; high confidence when gas is specified.,TRUE
GP-078,Fire Features,Fire Pit,Gas Fire Pit - Custom Masonry,Construction of a custom masonry gas fire pit built to match patio hardscape materials.,each,5900.0,1,1,2,custom fire pit;masonry fire pit;built-in fire pit;matching fire pit,TRUE,TRUE,TRUE,"What size and shape fire pit is needed, and should it match the surrounding paver/wall material?",Medium confidence; select when notes mention a custom or built-in fire pit matching the hardscape.,TRUE
GP-079,Fire Features,Fire Pit,Wood-Burning Fire Pit,"Construction of a wood-burning fire pit, typically masonry or metal ring style.",each,2450.0,1,1,2,wood burning fire pit;wood fire pit;campfire pit,FALSE,TRUE,TRUE,Confirm local fire code allows a wood-burning pit at this location.,High confidence when notes specifically mention wood-burning rather than gas.,TRUE
